"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","category","subcategory","network"
"GO:0001704","formation of primary germ layer","7/86","90/18842",0.0777777777777778,17.0405684754522,10.3287627408086,1.77089586104273e-07,0.000292551996244258,0.000254263363627608,"6657/3975/3678/2139/3909/3675/3624",7,"GO_BP",NA,"blue_hpv_neg"
"GO:2000811","negative regulation of anoikis","4/86","18/18842",0.222222222222222,48.687338501292,13.7061180595542,1.17877432149178e-06,0.000973667589552214,0.000846235881323576,"4915/3678/857/1048",4,"GO_BP",NA,"blue_hpv_neg"
"GO:0007369","gastrulation","7/86","127/18842",0.0551181102362205,12.0759934078008,8.48048561302317,1.84892251264581e-06,0.00101813999696363,0.000884887827104874,"6657/3975/3678/2139/3909/3675/3624",7,"GO_BP",NA,"blue_hpv_neg"
"GO:0030856","regulation of epithelial cell differentiation","7/86","139/18842",0.0503597122302158,11.0334616028108,8.03958524705572,3.37815012271381e-06,0.00110373111213359,0.000959276944660518,"8842/634/3975/1594/10406/857/5054",7,"GO_BP",NA,"blue_hpv_neg"
"GO:0001706","endoderm formation","5/86","51/18842",0.0980392156862745,21.4797081623347,9.9166501900281,3.50717553530609e-06,0.00110373111213359,0.000959276944660518,"6657/3975/3678/3909/3624",5,"GO_BP",NA,"blue_hpv_neg"
"GO:2000209","regulation of anoikis","4/86","24/18842",0.166666666666667,36.515503875969,11.7887554254112,4.00870863971038e-06,0.00110373111213359,0.000959276944660518,"4915/3678/857/1048",4,"GO_BP",NA,"blue_hpv_neg"
"GO:0007492","endoderm development","5/86","57/18842",0.087719298245614,19.21868625051,9.32781605735116,6.11857387228567e-06,0.00144398343385942,0.001254997708541,"6657/3975/3678/3909/3624",5,"GO_BP",NA,"blue_hpv_neg"
"GO:0120254","olefinic compound metabolic process","7/86","165/18842",0.0424242424242424,9.29485553206483,7.24650051810856,1.04515607241935e-05,0.00215301572113148,0.00187123323794019,"216/66002/1571/2938/131/1056/4051",7,"GO_BP",NA,"blue_hpv_neg"
"GO:0030858","positive regulation of epithelial cell differentiation","5/86","65/18842",0.0769230769230769,16.8533094812165,8.66951098785414,1.17295045340093e-05,0.00215301572113148,0.00187123323794019,"8842/3975/1594/10406/5054",5,"GO_BP",NA,"blue_hpv_neg"
"GO:0043276","anoikis","4/86","32/18842",0.125,27.3866279069767,10.1156914187452,1.31936148239561e-05,0.00217958516891754,0.00189432532840801,"4915/3678/857/1048",4,"GO_BP",NA,"blue_hpv_neg"
"GO:0042363","fat-soluble vitamin catabolic process","3/86","14/18842",0.214285714285714,46.9485049833887,11.6456677832511,3.22246899433636e-05,0.0048395625260397,0.00420617005576535,"66002/1594/4051",3,"GO_BP",NA,"blue_hpv_neg"
"GO:0035987","endodermal cell differentiation","4/86","44/18842",0.0909090909090909,19.9175475687104,8.50680423622816,4.7771678214377e-05,0.00625854223460777,0.00543943647763795,"6657/3678/3909/3624",4,"GO_BP",NA,"blue_hpv_neg"
"GO:0009111","vitamin catabolic process","3/86","16/18842",0.1875,41.0799418604651,10.8602328127669,4.92500296912234e-05,0.00625854223460777,0.00543943647763795,"66002/1594/4051",3,"GO_BP",NA,"blue_hpv_neg"
"GO:0010842","retina layer formation","3/86","19/18842",0.157894736842105,34.593635250918,9.9202009639246,8.43802604597154e-05,0.00995687073424642,0.0086537349824851,"8842/3975/1826",3,"GO_BP",NA,"blue_hpv_neg"
"GO:0001654","eye development","7/86","261/18842",0.0268199233716475,5.87605809498352,5.37137745119095,0.000191110204674886,0.0210476038748608,0.0182929346790557,"8842/6657/3975/1826/1365/5087/3624",7,"GO_BP",NA,"blue_hpv_neg"
